areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-08-29,00_04,497,4250,131.2
E92000001,England,nation,2021-08-29,00_59,15801,148525,346.3
E92000001,England,nation,2021-08-29,05_09,1119,9046,255.6
E92000001,England,nation,2021-08-29,10_14,1924,14668,426.9
E92000001,England,nation,2021-08-29,15_19,1801,16633,533.8
E92000001,England,nation,2021-08-29,20_24,1185,14716,423.8
E92000001,England,nation,2021-08-29,25_29,1281,15215,403.4
E92000001,England,nation,2021-08-29,30_34,1375,14259,372.8
E92000001,England,nation,2021-08-29,35_39,1350,12692,339.5
E92000001,England,nation,2021-08-29,40_44,1557,13080,376.3
E92000001,England,nation,2021-08-29,45_49,1344,12012,330.1
E92000001,England,nation,2021-08-29,50_54,1279,11907,307.2
E92000001,England,nation,2021-08-29,55_59,1089,10047,267.1
E92000001,England,nation,2021-08-29,60+,2604,22579,165.3
E92000001,England,nation,2021-08-29,60_64,822,7065,221.0
E92000001,England,nation,2021-08-29,65_69,594,5232,187.9
E92000001,England,nation,2021-08-29,70_74,500,4244,150.8
E92000001,England,nation,2021-08-29,75_79,308,2749,136.8
E92000001,England,nation,2021-08-29,80_84,192,1623,112.0
E92000001,England,nation,2021-08-29,85_89,112,987,111.5
E92000001,England,nation,2021-08-29,90+,76,679,130.3
E92000001,England,nation,2021-08-29,unassigned,0,62,
E92000001,England,nation,2021-08-28,00_04,515,4284,132.2
E92000001,England,nation,2021-08-28,00_59,16944,151950,354.3
E92000001,England,nation,2021-08-28,05_09,1210,9006,254.4
E92000001,England,nation,2021-08-28,10_14,1967,14634,426.0
E92000001,England,nation,2021-08-28,15_19,1903,17306,555.4
E92000001,England,nation,2021-08-28,20_24,1449,15594,449.1
E92000001,England,nation,2021-08-28,25_29,1550,15834,419.8
E92000001,England,nation,2021-08-28,30_34,1463,14679,383.8
E92000001,England,nation,2021-08-28,35_39,1459,12916,345.5
E92000001,England,nation,2021-08-28,40_44,1502,13159,378.5
E92000001,England,nation,2021-08-28,45_49,1428,12140,333.6
E92000001,England,nation,2021-08-28,50_54,1349,12185,314.4
E92000001,England,nation,2021-08-28,55_59,1149,10213,271.5
E92000001,England,nation,2021-08-28,60+,2497,22624,165.6
E92000001,England,nation,2021-08-28,60_64,796,7084,221.6
E92000001,England,nation,2021-08-28,65_69,594,5301,190.4
E92000001,England,nation,2021-08-28,70_74,493,4233,150.4
E92000001,England,nation,2021-08-28,75_79,317,2775,138.1
E92000001,England,nation,2021-08-28,80_84,148,1595,110.1
E92000001,England,nation,2021-08-28,85_89,90,978,110.5
E92000001,England,nation,2021-08-28,90+,59,658,126.3
E92000001,England,nation,2021-08-28,unassigned,0,69,
E92000001,England,nation,2021-08-27,00_04,578,4272,131.9
E92000001,England,nation,2021-08-27,00_59,20329,154408,360.0
E92000001,England,nation,2021-08-27,05_09,1321,8910,251.7
E92000001,England,nation,2021-08-27,10_14,2030,14518,422.6
E92000001,England,nation,2021-08-27,15_19,2270,18060,579.6
E92000001,England,nation,2021-08-27,20_24,2071,16347,470.8
E92000001,England,nation,2021-08-27,25_29,1980,16238,430.5
E92000001,England,nation,2021-08-27,30_34,1941,15079,394.3
E92000001,England,nation,2021-08-27,35_39,1737,12954,346.5
E92000001,England,nation,2021-08-27,40_44,1798,13231,380.6
E92000001,England,nation,2021-08-27,45_49,1587,12174,334.6
E92000001,England,nation,2021-08-27,50_54,1629,12340,318.4
E92000001,England,nation,2021-08-27,55_59,1387,10285,273.4
E92000001,England,nation,2021-08-27,60+,3169,22769,166.7
E92000001,England,nation,2021-08-27,60_64,957,7170,224.3
E92000001,England,nation,2021-08-27,65_69,752,5270,189.3
E92000001,England,nation,2021-08-27,70_74,619,4270,151.7
E92000001,England,nation,2021-08-27,75_79,378,2785,138.6
E92000001,England,nation,2021-08-27,80_84,238,1617,111.6
E92000001,England,nation,2021-08-27,85_89,139,995,112.4
E92000001,England,nation,2021-08-27,90+,86,662,127.0
E92000001,England,nation,2021-08-27,unassigned,5,72,
E92000001,England,nation,2021-08-26,00_04,622,4245,131.0
E92000001,England,nation,2021-08-26,00_59,22348,156131,364.0
E92000001,England,nation,2021-08-26,05_09,1241,8685,245.4
E92000001,England,nation,2021-08-26,10_14,2065,14309,416.5
E92000001,England,nation,2021-08-26,15_19,2382,19035,610.9
E92000001,England,nation,2021-08-26,20_24,2251,17061,491.3
