areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-04,10_14,2741,17124,510.5
E92000001,England,nation,2021-07-04,15_19,2935,21495,695.6
E92000001,England,nation,2021-07-04,20_24,3412,29383,842.4
E92000001,England,nation,2021-07-04,25_29,2351,17671,464.9
E92000001,England,nation,2021-07-04,30_34,1822,12628,331.6
E92000001,England,nation,2021-07-04,35_39,1475,10423,279.2
E92000001,England,nation,2021-07-04,40_44,1322,9257,271.1
E92000001,England,nation,2021-07-04,45_49,1139,7804,210.0
E92000001,England,nation,2021-07-04,50_54,917,6162,157.7
E92000001,England,nation,2021-07-04,55_59,678,4477,122.0
E92000001,England,nation,2021-07-04,60+,955,6725,49.9
E92000001,England,nation,2021-07-04,60_64,373,2572,82.7
E92000001,England,nation,2021-07-04,65_69,211,1471,52.6
E92000001,England,nation,2021-07-04,70_74,167,1117,40.2
E92000001,England,nation,2021-07-04,75_79,91,712,36.7
E92000001,England,nation,2021-07-04,80_84,54,435,30.2
E92000001,England,nation,2021-07-04,85_89,43,255,29.0
E92000001,England,nation,2021-07-04,90+,16,163,31.5
E92000001,England,nation,2021-07-04,unassigned,4,63,
E92000001,England,nation,2021-07-03,00_04,395,2914,88.3
E92000001,England,nation,2021-07-03,00_59,19141,142730,333.3
E92000001,England,nation,2021-07-03,05_09,1088,8890,251.3
E92000001,England,nation,2021-07-03,10_14,2083,16282,485.4
E92000001,England,nation,2021-07-03,15_19,2886,20718,670.4
E92000001,England,nation,2021-07-03,20_24,3617,29010,831.7
E92000001,England,nation,2021-07-03,25_29,2324,16882,444.1
E92000001,England,nation,2021-07-03,30_34,1667,11935,313.4
E92000001,England,nation,2021-07-03,35_39,1446,9902,265.2
E92000001,England,nation,2021-07-03,40_44,1201,8759,256.5
E92000001,England,nation,2021-07-03,45_49,1000,7387,198.8
E92000001,England,nation,2021-07-03,50_54,811,5843,149.5
E92000001,England,nation,2021-07-03,55_59,623,4208,114.6
E92000001,England,nation,2021-07-03,60+,946,6393,47.5
E92000001,England,nation,2021-07-03,60_64,363,2437,78.3
E92000001,England,nation,2021-07-03,65_69,197,1376,49.2
E92000001,England,nation,2021-07-03,70_74,167,1075,38.7
E92000001,England,nation,2021-07-03,75_79,113,691,35.6
E92000001,England,nation,2021-07-03,80_84,62,421,29.2
E92000001,England,nation,2021-07-03,85_89,22,227,25.8
E92000001,England,nation,2021-07-03,90+,22,166,32.1
E92000001,England,nation,2021-07-03,unassigned,3,63,
E92000001,England,nation,2021-07-02,00_04,431,2777,84.2
E92000001,England,nation,2021-07-02,00_59,20604,136196,318.1
E92000001,England,nation,2021-07-02,05_09,1316,8576,242.4
E92000001,England,nation,2021-07-02,10_14,2288,15573,464.3
E92000001,England,nation,2021-07-02,15_19,2910,19694,637.3
E92000001,England,nation,2021-07-02,20_24,4046,28134,806.6
E92000001,England,nation,2021-07-02,25_29,2481,16074,422.8
E92000001,England,nation,2021-07-02,30_34,1769,11263,295.8
E92000001,England,nation,2021-07-02,35_39,1442,9281,248.6
E92000001,England,nation,2021-07-02,40_44,1294,8309,243.4
E92000001,England,nation,2021-07-02,45_49,1080,7024,189.0
E92000001,England,nation,2021-07-02,50_54,872,5537,141.7
E92000001,England,nation,2021-07-02,55_59,675,3954,107.7
E92000001,England,nation,2021-07-02,60+,1045,5997,44.5
E92000001,England,nation,2021-07-02,60_64,393,2302,74.0
E92000001,England,nation,2021-07-02,65_69,228,1277,45.7
E92000001,England,nation,2021-07-02,70_74,173,990,35.6
E92000001,England,nation,2021-07-02,75_79,117,652,33.6
E92000001,England,nation,2021-07-02,80_84,65,398,27.6
E92000001,England,nation,2021-07-02,85_89,42,226,25.7
E92000001,England,nation,2021-07-02,90+,27,152,29.4
E92000001,England,nation,2021-07-02,unassigned,8,61,
E92000001,England,nation,2021-07-01,00_04,438,2628,79.6
E92000001,England,nation,2021-07-01,00_59,22527,129496,302.4
E92000001,England,nation,2021-07-01,05_09,1336,8141,230.1
E92000001,England,nation,2021-07-01,10_14,2336,14748,439.7
E92000001,England,nation,2021-07-01,15_19,3290,18850,610.0
E92000001,England,nation,2021-07-01,20_24,4671,27238,780.9
E92000001,England,nation,2021-07-01,25_29,2751,15187,399.5
E92000001,England,nation,2021-07-01,30_34,1969,10572,277.6
E92000001,England,nation,2021-07-01,35_39,1546,8744,234.2
E92000001,England,nation,2021-07-01,40_44,1344,7848,229.9
E92000001,England,nation,2021-07-01,45_49,1201,6668,179.4
E92000001,England,nation,2021-07-01,50_54,978,5183,132.6
E92000001,England,nation,2021-07-01,55_59,667,3689,100.5
E92000001,England,nation,2021-07-01,60+,1007,5537,41.1
