areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-11-10,10_14,4539,25481,741.7
E92000001,England,nation,2021-11-10,15_19,2376,13928,447.0
E92000001,England,nation,2021-11-10,20_24,1390,8252,237.6
E92000001,England,nation,2021-11-10,25_29,1919,11138,295.3
E92000001,England,nation,2021-11-10,30_34,2313,13940,364.5
E92000001,England,nation,2021-11-10,35_39,2620,15464,413.7
E92000001,England,nation,2021-11-10,40_44,3072,17629,507.1
E92000001,England,nation,2021-11-10,45_49,2734,15596,428.6
E92000001,England,nation,2021-11-10,50_54,2548,14754,380.7
E92000001,England,nation,2021-11-10,55_59,2078,12500,332.3
E92000001,England,nation,2021-11-10,60+,3910,25149,184.1
E92000001,England,nation,2021-11-10,60_64,1556,9562,299.1
E92000001,England,nation,2021-11-10,65_69,1014,6533,234.6
E92000001,England,nation,2021-11-10,70_74,639,4426,157.3
E92000001,England,nation,2021-11-10,75_79,312,2323,115.6
E92000001,England,nation,2021-11-10,80_84,160,1033,71.3
E92000001,England,nation,2021-11-10,85_89,129,752,84.9
E92000001,England,nation,2021-11-10,90+,100,520,99.8
E92000001,England,nation,2021-11-10,unassigned,10,54,
E92000001,England,nation,2021-11-09,00_04,1001,5628,173.7
E92000001,England,nation,2021-11-09,00_59,30011,168934,393.9
E92000001,England,nation,2021-11-09,05_09,3909,18764,530.1
E92000001,England,nation,2021-11-09,10_14,4773,24163,703.3
E92000001,England,nation,2021-11-09,15_19,2324,13639,437.7
E92000001,England,nation,2021-11-09,20_24,1321,8028,231.2
E92000001,England,nation,2021-11-09,25_29,1828,10828,287.1
E92000001,England,nation,2021-11-09,30_34,2358,13654,357.0
E92000001,England,nation,2021-11-09,35_39,2608,15175,405.9
E92000001,England,nation,2021-11-09,40_44,2975,17270,496.8
E92000001,England,nation,2021-11-09,45_49,2527,15246,419.0
E92000001,England,nation,2021-11-09,50_54,2399,14343,370.1
E92000001,England,nation,2021-11-09,55_59,1988,12196,324.2
E92000001,England,nation,2021-11-09,60+,3780,25174,184.3
E92000001,England,nation,2021-11-09,60_64,1483,9397,293.9
E92000001,England,nation,2021-11-09,65_69,956,6488,233.0
E92000001,England,nation,2021-11-09,70_74,610,4562,162.1
E92000001,England,nation,2021-11-09,75_79,362,2424,120.6
E92000001,England,nation,2021-11-09,80_84,174,1052,72.6
E92000001,England,nation,2021-11-09,85_89,110,740,83.6
E92000001,England,nation,2021-11-09,90+,85,511,98.1
E92000001,England,nation,2021-11-09,unassigned,8,54,
E92000001,England,nation,2021-11-08,00_04,1112,5435,167.8
E92000001,England,nation,2021-11-08,00_59,30986,165208,385.2
E92000001,England,nation,2021-11-08,05_09,3900,17596,497.1
E92000001,England,nation,2021-11-08,10_14,4923,23280,677.6
E92000001,England,nation,2021-11-08,15_19,2475,13569,435.5
E92000001,England,nation,2021-11-08,20_24,1500,7880,226.9
E92000001,England,nation,2021-11-08,25_29,1893,10677,283.1
E92000001,England,nation,2021-11-08,30_34,2343,13390,350.1
E92000001,England,nation,2021-11-08,35_39,2571,15033,402.1
E92000001,England,nation,2021-11-08,40_44,3000,17167,493.8
E92000001,England,nation,2021-11-08,45_49,2604,15098,414.9
E92000001,England,nation,2021-11-08,50_54,2547,14087,363.5
E92000001,England,nation,2021-11-08,55_59,2118,11996,318.9
E92000001,England,nation,2021-11-08,60+,4236,25494,186.6
E92000001,England,nation,2021-11-08,60_64,1692,9253,289.4
E92000001,England,nation,2021-11-08,65_69,1045,6635,238.3
E92000001,England,nation,2021-11-08,70_74,708,4790,170.2
E92000001,England,nation,2021-11-08,75_79,385,2492,124.0
E92000001,England,nation,2021-11-08,80_84,164,1068,73.7
E92000001,England,nation,2021-11-08,85_89,145,736,83.1
E92000001,England,nation,2021-11-08,90+,97,520,99.8
E92000001,England,nation,2021-11-08,unassigned,15,52,
E92000001,England,nation,2021-11-07,00_04,699,5270,162.7
E92000001,England,nation,2021-11-07,00_59,21991,165968,387.0
E92000001,England,nation,2021-11-07,05_09,2427,17169,485.1
E92000001,England,nation,2021-11-07,10_14,3562,23733,690.8
E92000001,England,nation,2021-11-07,15_19,1864,13815,443.4
E92000001,England,nation,2021-11-07,20_24,998,7668,220.8
E92000001,England,nation,2021-11-07,25_29,1301,10592,280.8
E92000001,England,nation,2021-11-07,30_34,1596,13393,350.2
E92000001,England,nation,2021-11-07,35_39,1844,15260,408.2
E92000001,England,nation,2021-11-07,40_44,2232,17576,505.6
E92000001,England,nation,2021-11-07,45_49,1954,15391,423.0
E92000001,England,nation,2021-11-07,50_54,1918,14117,364.3
E92000001,England,nation,2021-11-07,55_59,1596,11984,318.6
E92000001,England,nation,2021-11-07,60+,2861,26209,191.9
E92000001,England,nation,2021-11-07,60_64,1114,9260,289.7
E92000001,England,nation,2021-11-07,65_69,765,6800,244.2
E92000001,England,nation,2021-11-07,70_74,504,5066,180.0
E92000001,England,nation,2021-11-07,75_79,247,2630,130.8
E92000001,England,nation,2021-11-07,80_84,105,1142,78.8
E92000001,England,nation,2021-11-07,85_89,73,757,85.5
E92000001,England,nation,2021-11-07,90+,53,554,106.3
E92000001,England,nation,2021-11-07,unassigned,2,51,
E92000001,England,nation,2021-11-06,00_04,693,5233,161.5
E92000001,England,nation,2021-11-06,00_59,18904,169110,394.3
E92000001,England,nation,2021-11-06,05_09,2082,17292,488.5
E92000001,England,nation,2021-11-06,10_14,2510,24590,715.7
E92000001,England,nation,2021-11-06,15_19,1475,14151,454.2
E92000001,England,nation,2021-11-06,20_24,904,7514,216.4
E92000001,England,nation,2021-11-06,25_29,1211,10525,279.1
E92000001,England,nation,2021-11-06,30_34,1601,13520,353.5
E92000001,England,nation,2021-11-06,35_39,1689,15602,417.4
E92000001,England,nation,2021-11-06,40_44,1888,18252,525.0
E92000001,England,nation,2021-11-06,45_49,1764,15968,438.8
E92000001,England,nation,2021-11-06,50_54,1658,14392,371.4
E92000001,England,nation,2021-11-06,55_59,1429,12071,320.9
E92000001,England,nation,2021-11-06,60+,3113,27031,197.9
E92000001,England,nation,2021-11-06,60_64,1153,9390,293.7
E92000001,England,nation,2021-11-06,65_69,853,7025,252.3
E92000001,England,nation,2021-11-06,70_74,535,5295,188.2
E92000001,England,nation,2021-11-06,75_79,314,2761,137.4
E92000001,England,nation,2021-11-06,80_84,132,1211,83.6
E92000001,England,nation,2021-11-06,85_89,79,772,87.2
E92000001,England,nation,2021-11-06,90+,47,577,110.7
E92000001,England,nation,2021-11-06,unassigned,2,62,
E92000001,England,nation,2021-11-05,00_04,704,5238,161.7
E92000001,England,nation,2021-11-05,00_59,20222,174012,405.7
E92000001,England,nation,2021-11-05,05_09,2005,17777,502.3
E92000001,England,nation,2021-11-05,10_14,2415,25989,756.5
E92000001,England,nation,2021-11-05,15_19,1657,14581,468.0
E92000001,England,nation,2021-11-05,20_24,1022,7471,215.1
E92000001,England,nation,2021-11-05,25_29,1407,10536,279.4
E92000001,England,nation,2021-11-05,30_34,1714,13615,356.0
E92000001,England,nation,2021-11-05,35_39,1975,16066,429.8
E92000001,England,nation,2021-11-05,40_44,2114,19102,549.5
E92000001,England,nation,2021-11-05,45_49,1842,16645,457.5
E92000001,England,nation,2021-11-05,50_54,1790,14824,382.5
E92000001,England,nation,2021-11-05,55_59,1577,12168,323.5
E92000001,England,nation,2021-11-05,60+,3577,27739,203.1
E92000001,England,nation,2021-11-05,60_64,1243,9489,296.8
E92000001,England,nation,2021-11-05,65_69,921,7154,256.9
E92000001,England,nation,2021-11-05,70_74,710,5571,198.0
E92000001,England,nation,2021-11-05,75_79,368,2882,143.4
E92000001,England,nation,2021-11-05,80_84,158,1250,86.3
E92000001,England,nation,2021-11-05,85_89,109,799,90.2
E92000001,England,nation,2021-11-05,90+,68,594,114.0
E92000001,England,nation,2021-11-05,unassigned,3,63,
E92000001,England,nation,2021-11-04,00_04,719,5333,164.6
E92000001,England,nation,2021-11-04,00_59,22357,182166,424.7
E92000001,England,nation,2021-11-04,05_09,2127,18606,525.7
E92000001,England,nation,2021-11-04,10_14,2759,28182,820.3
E92000001,England,nation,2021-11-04,15_19,1757,15253,489.5
E92000001,England,nation,2021-11-04,20_24,1117,7585,218.4
E92000001,England,nation,2021-11-04,25_29,1579,10623,281.7
E92000001,England,nation,2021-11-04,30_34,2015,13894,363.3
E92000001,England,nation,2021-11-04,35_39,2157,16668,445.9
E92000001,England,nation,2021-11-04,40_44,2348,20230,581.9
E92000001,England,nation,2021-11-04,45_49,2171,17756,488.0
